Product Category,Product Name,Units Sold,Returns,Revenue,Customer Rating,Stock Level,Season,Trend Score
Tops,Levi's Pink Tops XS,245,6,35966.18,3.3,747,Autumn,29.07
Dresses,Nike Pink Dresses S,133,15,4638.29,5,99,Summer,13.01
Activewear,Levi's Pink Activewear L,252,35,19972.57,4.8,679,Summer,43.31
Activewear,Nike Grey Activewear XS,403,44,34232.99,4.3,52,Summer,36.43
Outerwear,Levi's Pink Outerwear XL,24,3,941.87,4.7,771,Summer,1.95
Tops,H&M Yellow Tops S,341,51,12460.25,3.9,794,Spring,26.67
Tops,Nike Yellow Tops M,173,31,22429.57,3.1,702,Autumn,14.86
Tops,Prada Red Tops XL,324,27,8132.08,4.5,143,Summer,37.9
Outerwear,H&M White Outerwear M,455,55,59984.53,4,42,Spring,1151.08
Accessories,Zara Green Accessories XL,469,84,81324.61,3,296,Summer,27.96
Outerwear,Adidas Black Outerwear XL,109,7,8910.86,4.4,795,Summer,48.15
Dresses,Nike White Dresses XL,81,3,2921.22,4.7,610,Spring,12.64
Outerwear,Uniqlo Grey Outerwear L,376,1,4656.95,3.7,547,Winter,36.5
Outerwear,H&M Blue Outerwear M,492,8,74044.33,4.2,31,Summer,71.75
Dresses,Levi's Grey Dresses L,67,6,1892.12,3.8,644,Autumn,11.57
Outerwear,Gucci Red Outerwear XS,258,46,20109.84,3,244,Spring,13.5
Jeans,Prada White Jeans S,161,32,19493.93,4.3,139,Spring,13.73
Accessories,Gucci White Accessories XL,97,9,14916.08,3.7,488,Spring,7.23
Dresses,Zara Red Dresses M,294,10,57241.4,4.5,237,Spring,158.76
Jeans,Gucci Blue Jeans S,190,5,37692.58,4.7,44,Winter,93.9
Tops,Levi's Yellow Tops L,209,24,3583.19,4.2,422,Spring,28.33
Dresses,Levi's Black Dresses XS,365,19,47113.6,4.4,408,Spring,196.44
Tops,Uniqlo Green Tops XS,422,20,62248.33,4.3,87,Autumn,88.97
Outerwear,Levi's White Outerwear M,155,24,21233.89,3.2,388,Summer,27.49
Dresses,Gucci Pink Dresses XL,44,8,8659.86,4.8,943,Winter,22.04
Outerwear,Uniqlo Red Outerwear S,260,27,38708.4,3.9,394,Summer,18.77
Outerwear,Nike Pink Outerwear XL,326,1,20331.67,3.3,913,Winter,41.89
Accessories,Levi's Yellow Accessories XS,134,26,24217.74,4.6,502,Spring,17.88
Shoes,Adidas Black Shoes M,128,18,9169.43,3.2,974,Spring,7.92
Shoes,H&M Black Shoes S,48,9,9056.78,4,580,Autumn,3.54
Tops,Uniqlo Green Tops M,269,16,44823.17,4.4,181,Summer,270.19
Activewear,Gucci Grey Activewear L,219,37,31765.76,4.1,833,Winter,16.39
Tops,Gucci White Tops M,419,50,56434.08,5,835,Autumn,105.13
Activewear,Gucci White Activewear M,142,6,19692.58,4.1,722,Autumn,45.3
Accessories,Nike Blue Accessories S,245,47,24562.87,4.2,548,Autumn,32.8
Jeans,Levi's Yellow Jeans S,52,1,3846.38,4.1,680,Winter,52.41
Dresses,Prada Pink Dresses XL,282,7,44171.02,3.5,567,Summer,79.48
Outerwear,Uniqlo Grey Outerwear XL,128,12,12651.9,3.2,635,Autumn,42.47
Accessories,Adidas Grey Accessories XL,263,36,26103.46,4.9,163,Autumn,432.8
Jeans,Nike Pink Jeans M,62,12,5466.08,3.4,605,Winter,3.46
Shoes,Zara Black Shoes S,281,30,55098.29,3.1,754,Summer,36.88
Tops,H&M Black Tops L,461,69,72553.69,4.8,411,Summer,111.14
Accessories,Prada Black Accessories XS,76,9,10091.21,3.9,498,Winter,98.6
Shoes,Adidas Yellow Shoes M,472,51,32428.81,3.9,481,Spring,43.32
Dresses,Gucci White Dresses XL,169,28,18073.61,4.6,570,Winter,35.81
Activewear,Nike Pink Activewear S,418,70,70403.13,4.4,398,Winter,61.35
Tops,H&M White Tops XS,338,36,57117.44,4,94,Autumn,63.38
Activewear,Adidas Black Activewear M,290,48,22606.81,3.5,532,Summer,467.96
Accessories,H&M Pink Accessories S,383,3,35526.69,3.7,60,Spring,47.28
Outerwear,Nike Black Outerwear XL,323,14,16858.45,3.9,474,Autumn,50.34
Jeans,Prada Green Jeans L,169,21,26720.08,3.5,920,Spring,17.88
Shoes,Prada Grey Shoes XL,23,4,3352.72,3.6,583,Autumn,3.22
